=== Q-Table Approximation Summary ===
Goal ID: 0 | Epsilon: 1.0000

State[g:0, h:0, n:0, ge:0, v:0] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.16
State[g:0, h:0, n:0, ge:0, v:1] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.14
State[g:0, h:0, n:0, ge:0, v:2] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.15
State[g:0, h:0, n:0, ge:0, v:3] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.18
State[g:0, h:0, n:0, ge:0, v:4] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.16
State[g:0, h:0, n:0, ge:0, v:5] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.25
State[g:0, h:0, n:0, ge:0, v:6] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.29
State[g:0, h:0, n:0, ge:0, v:7] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.29
State[g:0, h:0, n:0, ge:0, v:8] -> Best action ID: 33 | Action(delta_head=0, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.32
State[g:0, h:0, n:0, ge:0, v:9] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.31
State[g:0, h:0, n:0, ge:1, v:0] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.16
State[g:0, h:0, n:0, ge:1, v:1] -> Best action ID: 49 | Action(delta_head=0, delta_nav=1, delta_gesture=0, delta_volume=0) | Q: 0.15
State[g:0, h:0, n:0, ge:1, v:2] -> Best action ID: 49 | Action(delta_head=0, delta_nav=1, delta_gesture=0, delta_volume=0) | Q: 0.16
State[g:0, h:0, n:0, ge:1, v:3] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.21
State[g:0, h:0, n:0, ge:1, v:4] -> Best action ID: 10 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=0) | Q: 0.18
State[g:0, h:0, n:0, ge:1, v:5] -> Best action ID: 13 | Action(delta_head=-1, delta_nav=0, delta_gesture=0, delta_volume=0) | Q: 0.22
State[g:0, h:0, n:0, ge:1, v:6] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.28
State[g:0, h:0, n:0, ge:1, v:7] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.39
State[g:0, h:0, n:0, ge:1, v:8] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.33
State[g:0, h:0, n:0, ge:1, v:9] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.37
State[g:0, h:0, n:0, ge:2, v:0] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.18
State[g:0, h:0, n:0, ge:2, v:1] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.20
State[g:0, h:0, n:0, ge:2, v:2] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.19
State[g:0, h:0, n:0, ge:2, v:3] -> Best action ID: 70 | Action(delta_head=1, delta_nav=0, delta_gesture=1, delta_volume=0) | Q: 0.19
State[g:0, h:0, n:0, ge:2, v:4] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.25
State[g:0, h:0, n:0, ge:2, v:5] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.28
State[g:0, h:0, n:0, ge:2, v:6] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.32
State[g:0, h:0, n:0, ge:2, v:7] -> Best action ID: 17 | Action(delta_head=-1, delta_nav=0, delta_gesture=1, delta_volume=1) | Q: 0.34
State[g:0, h:0, n:0, ge:2, v:8] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.32
State[g:0, h:0, n:0, ge:2, v:9] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.43
State[g:0, h:0, n:0, ge:3, v:0] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.22
State[g:0, h:0, n:0, ge:3, v:1] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.23
State[g:0, h:0, n:0, ge:3, v:2] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.20
